grid_id,n_reaches,total_length_km,max_seg_length_km,main_hyriv_id,main_length_km,main_length_frac,n_exit_reaches,n_exit_downstream_cells,in_china,next_grid_id,has_next,rank_by
2441138,25,56.622250551399816,7.679413457894177,41002922,7.679413457894177,0.13562536605504683,4,1,True,2431138.0,True,n_reaches
2920942,25,56.562692100919364,9.557880035256611,40717471,9.557880035256611,0.1689785206510929,1,1,True,2920943.0,True,n_reaches
2181094,25,55.176115154695665,6.092483157829529,41135490,6.092483157829529,0.11041884954655128,2,1,True,2181093.0,True,n_reaches
2841198,25,54.79562604351273,5.068829332868221,40760699,5.068829332868221,0.09250426902401128,2,1,True,2841199.0,True,n_reaches
2601132,25,53.30807045244621,6.22741736319304,40911793,6.22741736319304,0.11681941046334149,1,1,True,2601131.0,True,n_reaches
2921150,25,53.13773376812533,8.02718279370899,40720313,8.02718279370899,0.15106370227862626,2,1,True,2921151.0,True,n_reaches
2321048,25,52.96805440604827,6.418958648760781,41065785,6.418958648760781,0.12118547152126129,2,1,True,2321049.0,True,n_reaches
1961096,25,52.633201923459865,4.794474361322933,41199442,4.794474361322933,0.09109220389622395,6,3,True,1971096.0,True,n_reaches
2381148,25,50.557397031165856,6.450451349431053,41035318,6.450451349431053,0.1275866980543857,3,1,True,2381147.0,True,n_reaches
2901158,25,50.49112484891083,4.786858284065738,40727176,4.786858284065738,0.09480593467445789,1,1,True,2911159.0,True,n_reaches
2181080,25,50.40321301212611,5.077790164155581,41132737,5.077790164155581,0.10074338242948828,3,1,True,2181081.0,True,n_reaches
2481112,25,49.863629359183,7.508018023245313,40979599,7.508018023245313,0.15057102982141068,3,1,True,2471112.0,True,n_reaches
2920940,25,49.850905216941676,6.266555244826137,40716340,6.266555244826137,0.12570594691420903,1,1,True,2920941.0,True,n_reaches
2281122,25,49.02342755506195,7.161440895490554,41089066,7.161440895490554,0.14608201124752027,1,1,True,2281123.0,True,n_reaches
2501122,25,48.896381683427386,4.699302161603552,40968394,4.699302161603552,0.09610736009115174,3,1,True,2491122.0,True,n_reaches
2981034,25,47.96248559565687,8.542638221861838,40692214,8.542638221861838,0.17811083215911136,1,1,True,2971034.0,True,n_reaches
2981184,25,47.6188825852616,6.762646188027528,40691715,6.762646188027528,0.14201606213499468,1,1,True,2981185.0,True,n_reaches
2321130,25,46.64398491301162,6.10034037183278,41065342,6.10034037183278,0.1307851458920066,1,1,True,2321131.0,True,n_reaches
2341092,25,46.50545671060383,4.284910966232627,41054748,4.284910966232627,0.09213781068524833,1,1,True,2351092.0,True,n_reaches
2761170,25,46.499473236328086,6.6310074621370765,40812263,6.6310074621370765,0.14260392646677444,3,1,True,2771170.0,True,n_reaches
2461100,25,45.553645311169824,8.801511806917938,40993169,8.801511806917938,0.19321201951668607,3,2,True,2461099.0,True,n_reaches
2940966,25,45.47407330497437,5.356096431529125,40710130,5.356096431529125,0.11778352019640226,1,1,True,2950966.0,True,n_reaches
2301156,25,45.1523557198916,4.636180550270806,41075032,4.636180550270806,0.10267859730358131,3,2,True,2291156.0,True,n_reaches
2781128,25,44.0088624057808,7.360147185670534,40802583,7.360147185670534,0.1672423867221739,3,2,True,2781129.0,True,n_reaches
2281028,25,43.97941195665843,5.101723772974374,41087913,5.101723772974374,0.11600254632786146,2,1,True,2281029.0,True,n_reaches
2521150,25,43.890890806969395,5.233102989692931,40956989,5.233102989692931,0.11922981952469215,3,2,True,2531149.0,True,n_reaches
